mode,depth,fid_raw,fid_raw_err,fid_post,fid_post_err,P00,P00_err,P01,P01_err,P10,P10_err,P11,P11_err
1,1,0.933563187108675,0.0016098005294681022,0.994865836316126,0.0004799021448033312,0.06175047902747567,0.0015981747296314585,0.004686333863849433,0.0004359989629942819,0.9085502306183065,0.0018465746795619019,0.025012956490368377,0.0018465746795619019
1,5,0.92539176866761,0.0018226997647139613,0.993013098261554,0.0006728531999346926,0.06822973424121748,0.0018304495944191988,0.00637849709117257,0.0006174559521902646,0.9057903676411931,0.0015659177897998028,0.01960140102641685,0.0015659177897998028
1,10,0.9087188054244721,0.0016398495015559462,0.990465260858575,0.0005929796941451661,0.0827384073754046,0.0014987730194186638,0.008542787200123463,0.0005314863098316376,0.8871877559575847,0.002041639469312648,0.02153104946688722,0.002041639469312648
1,20,0.8840371531169321,0.0024134820202573854,0.9897561091708614,0.000932317815606818,0.10705728038466429,0.0020964820374647585,0.008905566498403693,0.0008080126898993836,0.8613682886413798,0.002552394834309691,0.022668864475552154,0.002552394834309691
1,40,0.8243200041125598,0.003678436492527021,0.9803697476029825,0.001007833054884922,0.15962414072132353,0.0035001799191069216,0.016055855166116673,0.0008002075500962261,0.803033829989532,0.0038353530319222913,0.021286174123027978,0.0038353530319222913
1,80,0.732525065550077,0.004116402124782121,0.9720313964994676,0.0017837328980520517,0.24690588375450895,0.003696925817160567,0.020569050695413982,0.0012838486324706145,0.7168047539845527,0.004155873015193161,0.015720311565524347,0.004155873015193161
1,120,0.656262948628661,0.005971192113733522,0.9547691774726774,0.003258061779965835,0.31366137278523276,0.004942190335921341,0.030075678586106176,0.002101374580214311,0.6388030958540736,0.005692324104058928,0.017459852774587427,0.005692324104058928
1,160,0.5711454069490541,0.008681216546607416,0.9400870761861757,0.004459662650928094,0.3934567119617834,0.00934096594764143,0.035397881089162316,0.00289271248755735,0.5513934910364936,0.0085199701223133,0.01975191591256075,0.0085199701223133
1,200,0.5045778560471665,0.008305894738823122,0.9219068984055692,0.005700764043992741,0.45490478432817966,0.008023852107208181,0.04051735962465375,0.0029900431891932014,0.4807072129500868,0.00811802140734509,0.023870643097079793,0.00811802140734509
1,250,0.42591115587216233,0.008536052345099401,0.87774302935393,0.012014275718259224,0.519832809300358,0.005733929316190767,0.05425603482747977,0.005219703684890295,0.39467214690104374,0.008247273515915757,0.031239008971118483,0.008247273515915757
1,300,0.3588287632837851,0.008863898475142575,0.8523103500003161,0.01325198382998705,0.5865680556017437,0.0068590022843448934,0.05460318111447131,0.004500279032715689,0.32281981827161393,0.00882530382747257,0.03600894501217108,0.00882530382747257
1,400,0.2423387017769282,0.0062636149976684425,0.7644555774229485,0.017207012891188558,0.6920966370796873,0.005461439602084799,0.06556466114338443,0.005492331489987436,0.20985741401394165,0.005778445103411538,0.03248128776298651,0.005778445103411538
1,700,0.10600582186827374,0.0037020935717680314,0.660276488000968,0.016190035477099227,0.85412197087054,0.0037195698242615313,0.039872207261186225,0.0016661678792049008,0.07982299161318204,0.0037801288292084977,0.026182830255091685,0.0037801288292084977
1,1000,0.06812440980482957,0.0017278431469143123,0.5951692512783836,0.013180551126569646,0.8987674734375978,0.0018494143045897974,0.033108116757572595,0.0011769141001567458,0.049372053493605045,0.0019465754767649117,0.018752356311224558,0.0019465754767649117
1,1500,0.03966076721432621,0.0005644172644854076,0.5422739936020162,0.006692539884422286,0.934552215988406,0.0007626555238114879,0.025787016797267786,0.0006238461511964114,0.03042718533464613,0.00047684602075510825,0.009233581879680073,0.00047684602075510825
1,2000,0.030040979728466196,0.0005645452116591778,0.5046939462514397,0.00603124221883779,0.9465597311758978,0.0007402051908097681,0.023399289095636027,0.00038540578412848677,0.02396817081657937,0.0005774859343987519,0.006072808911886824,0.0005774859343987519
2,1,0.9356514245251336,0.0016098005294681022,0.9950886744818882,0.00048243060740322136,0.05991634724605409,0.0018721113801848717,0.0044322282288122945,0.00043983346018930907,0.8957272139719534,0.0022832745775030047,0.03992421055318025,0.0022832745775030047
2,5,0.9242189803653471,0.0018226997647139613,0.9935122956231536,0.0005523446792671511,0.07000429972614167,0.001540946897328571,0.005776719908511158,0.0004906753514151476,0.8840266115577843,0.0018772482133232158,0.0401923688075629,0.0018772482133232158
2,10,0.9146219140241565,0.0016398495015559462,0.9915569325847973,0.000589210069077639,0.07794452987457444,0.0013366343382533769,0.007433556101269172,0.0005161249261888894,0.8738324910245019,0.002164149037244037,0.040789422999654476,0.002164149037244037
2,20,0.8947011286221004,0.0024134820202573854,0.9880295501844036,0.000772375214410988,0.09490102920157364,0.0019984898393528867,0.010397842176326132,0.0006702786308694364,0.8582253544467165,0.0022096208760542515,0.036475774175383675,0.0022096208760542515
2,40,0.8491152875024695,0.003678436492527021,0.9819193518906341,0.0009946865781398529,0.13588062556012423,0.0017654351066693009,0.015004086937406453,0.0008244083084340263,0.8151482869786778,0.0021080463879452997,0.03396700052379144,0.0021080463879452997
2,80,0.7741506616680663,0.004116402124782121,0.9728727395882011,0.0011895607364686596,0.2050145263866056,0.0019740057502009947,0.020834811945327904,0.0009094216523180693,0.7474757050966773,0.002313854547475142,0.026674956571389206,0.002313854547475142
2,120,0.7058428039929209,0.005971192113733522,0.9628505468617614,0.0012141513092294273,0.26781778220448377,0.002158893174852192,0.02633941380259528,0.0008764276605085009,0.6823360234763594,0.0020951407617903414,0.023506780516561653,0.0020951407617903414
2,160,0.6432812277250809,0.008681216546607416,0.9517652850932011,0.002560002943539129,0.3251569589641792,0.0026409160333805736,0.03156181331073984,0.0016806401288576905,0.6230362830421713,0.003004082998866972,0.020244944682909553,0.003004082998866972
2,200,0.5917922236675228,0.008305894738823122,0.9443564000127641,0.0024432561083563937,0.37449285392312964,0.0021593771211114443,0.033714922409347564,0.0014969574563296493,0.5719568656722025,0.002505494230977606,0.019835357995320345,0.002505494230977606
2,250,0.5253061391252961,0.008536052345099401,0.9365299698203333,0.002872753827332425,0.44020023398097696,0.0021437235952450487,0.034493626893726814,0.0015417304986440233,0.5094604119273863,0.002740798758340844,0.015845727197909876,0.002740798758340844
2,300,0.4711879150735791,0.008863898475142575,0.9255988361010575,0.0024544302966151227,0.49223875250103044,0.0017811164785744946,0.03657333242539055,0.0011786549489478282,0.45541417843865156,0.002248093169088397,0.015773736634927517,0.002248093169088397
2,400,0.3736197208878927,0.0062636149976684425,0.9007786915336613,0.004086635293536897,0.5867476851330824,0.002007087858241845,0.03963259397902487,0.0016012034124531045,0.36026734721180165,0.002647712799935754,0.013352373676091054,0.002647712799935754
2,700,0.1944083648359796,0.0037020935717680314,0.814856384598951,0.006978692066059325,0.764575887642308,0.0013892551382486168,0.0410157475217126,0.0015300551869386397,0.18065930708725653,0.001990108523355445,0.013749057748722981,0.001990108523355445
2,1000,0.10446502309028889,0.0017278431469143123,0.7070746882873601,0.008141357900370025,0.8585025075264553,0.0010746773827781681,0.037032469383255884,0.0010036145167058323,0.08958089545249318,0.0013832784609465868,0.014884127637795732,0.0013832784609465868
2,1500,0.046990368276748025,0.0005644172644854076,0.5829686139401106,0.007362618331099221,0.9260454913232289,0.0007928723156563166,0.02696414040002323,0.0004731668756181977,0.03787327381916661,0.0008265714507432913,0.009117094457581408,0.0008265714507432913
2,2000,0.03264899768534076,0.0005645452116591778,0.5314395362886073,0.0061499452171010814,0.9454229097002679,0.0007386203212322853,0.021928092614391388,0.00042870151002615935,0.024944201515998934,0.0005883552923061767,0.0077047961693418295,0.0005883552923061767
3,1,0.932848556683558,0.0018364832264220945,0.9953260202637892,0.00039949444035114164,0.06297894351436314,0.001176226769595588,0.0041724998020788145,0.0003559383392788671,0.8890630812784109,0.0019511508849668908,0.04378547540514711,0.0019511508849668908
3,5,0.9184909395360339,0.0014975954861458222,0.9926657260845021,0.0005909073629860316,0.07504157222873784,0.001570598764562083,0.006467488235228106,0.0005238370770952343,0.8752246533122903,0.002034707201115821,0.04326628622374382,0.002034707201115821
3,10,0.9043892498839594,0.0014362818707466228,0.9911567471113347,0.0006363350638204175,0.08792671319658649,0.001761857861757255,0.0076840369194540415,0.0005501158870489107,0.8610043955026079,0.0022772363776885777,0.043384854381351576,0.0022772363776885777
3,20,0.8764785239542299,0.002085071761316573,0.9869829981251613,0.0008282351806565856,0.11249928923719361,0.0018742411047973073,0.011022186808576556,0.0006987687571608597,0.8361995835377429,0.0021460631258204254,0.04027894041648674,0.0021460631258204254
3,40,0.8278562784309142,0.0019953974330168566,0.9783289331065634,0.0006932577949654442,0.15456614049642006,0.002512462511737353,0.017577581072665896,0.0005612580818452019,0.7936701005553698,0.002448780312843969,0.034186177875544205,0.002448780312843969
3,80,0.7364453361439647,0.0021865488982614795,0.9659018354299639,0.0012718040815089722,0.2384654555792021,0.0017912061792411866,0.02508920827683303,0.0009751517536517301,0.7097652614199582,0.0017466871138630466,0.026680074724006707,0.0017466871138630466
3,120,0.655093510809569,0.0021332925642757266,0.9548119322845905,0.001012516458242228,0.3149340428165857,0.0024101643557073484,0.02997244637384546,0.0006596731925137108,0.6336049321196161,0.0023512267930658735,0.02148857868995279,0.0023512267930658735
3,160,0.5856533200369974,0.0030362293178063187,0.9422751495117979,0.001545505028694442,0.37962116840580473,0.002425476367667408,0.03472551155719773,0.0009205810329897984,0.5671942477541048,0.002627708020472248,0.018459072282892865,0.002627708020472248
3,200,0.5216739378294559,0.0025346226760760765,0.9342888364741332,0.0017154501329707749,0.4428277336097418,0.0025810543037316806,0.03549832856080237,0.0008717608161470142,0.5055538937719443,0.0029041494849987907,0.016120044057511575,0.0029041494849987907
3,250,0.4555321279980224,0.0027418483105529417,0.9186091413919095,0.0027814436924202567,0.5053010003101778,0.0020911269916886934,0.039166871691799825,0.0013843121602907175,0.4416071061036931,0.002006065136822885,0.013925021894329308,0.002006065136822885
3,300,0.3992813792427184,0.002225779997981239,0.9046369529449964,0.0018525417196011654,0.5598751239051291,0.0019754345827122104,0.04084349685215272,0.0008034777316702777,0.3875152644433982,0.0019721779482567182,0.011766114799320168,0.0019721779482567182
3,400,0.30551956286123894,0.0026560942741992175,0.8819160683517625,0.0027497595858365456,0.654931242912436,0.0016659804085358912,0.039549194226324934,0.0009446162598787263,0.2953309593905118,0.0016171138030354093,0.010188603470727248,0.0016171138030354093
3,700,0.13654525844098897,0.0019981724453222538,0.7710493046212809,0.006003985728094998,0.8266157769493577,0.001064283501429125,0.0368389646096534,0.0009520293571129376,0.12420587602367629,0.0013514629568279184,0.012339382417312689,0.0013514629568279184
3,1000,0.0711044260259632,0.001397617084910841,0.6774050464950094,0.005759119204116192,0.9003476941834287,0.0011183197518301739,0.028547879790608122,0.0006482086054020343,0.059880513715415515,0.0008444358854995195,0.011223912310547679,0.0008444358854995195
3,1500,0.03846570021025723,0.000773648158062603,0.5988838478791452,0.005587124800596577,0.9406310978864105,0.0007523447734926672,0.020903201903332266,0.0004708135026616522,0.03115240104665906,0.0005194951397118491,0.00731329916359817,0.0005194951397118491
3,2000,0.03402719982188742,0.0004936205438447592,0.5982284227424732,0.008530360142307014,0.9470119734110299,0.0008155718962836822,0.018960826767082557,0.00036578710678019695,0.028505317459978266,0.0007889752167688397,0.005521882361909157,0.0007889752167688397
4,1,0.9224996506107835,0.0018364832264220945,0.9924848735561859,0.0005700234403086111,0.07071651144389529,0.0016800866418539158,0.006783837945321119,0.0005176444615874594,0.8953524548427165,0.0021139916294548116,0.02714719576806705,0.0021139916294548116
4,5,0.8977564150549788,0.0014975954861458222,0.9889322008290996,0.0007143665655444077,0.0925071280792755,0.0019553545429684908,0.00973645686574578,0.0006221573958370889,0.8707604852155324,0.0021486621308964065,0.026995929839446212,0.0021486621308964065
4,10,0.8771742607568224,0.0014362818707466228,0.9850081049033197,0.0009781006758389447,0.10984160445261372,0.002012210685812048,0.012984134790563833,0.0008505658263995079,0.8531577113810537,0.002365180171832016,0.02401654937576879,0.002365180171832016
4,20,0.8189352708606774,0.002085071761316573,0.9751288184934883,0.0016352180464613516,0.16065994756183183,0.0032461024614058127,0.02040478157749078,0.001346125886716923,0.7992761422789643,0.003402545356375857,0.019659128581713068,0.003402545356375857
4,40,0.7313258867536189,0.0019953974330168566,0.958381830009753,0.0022116398829522092,0.23767985125514188,0.0026819439437110776,0.030994261991239353,0.0016564911702719785,0.713828250382493,0.003039108434621066,0.01749763637112576,0.003039108434621066
4,80,0.5778982173485472,0.0021865488982614795,0.920859468732877,0.0024262091420637405,0.37374050300770273,0.0029151898115954006,0.04836127964375025,0.0014321378334582666,0.5633566489474978,0.003329652357209473,0.014541568401049206,0.003329652357209473
4,120,0.46494767556877475,0.0021332925642757266,0.8846166711498286,0.005093528579656822,0.47604038029629014,0.0028272805907536293,0.05901194413493507,0.002524188387253522,0.4534944742475966,0.004182996517393369,0.011453201321178138,0.004182996517393369
4,160,0.38271333300040017,0.0030362293178063187,0.8595379411159497,0.0040706615579151765,0.5564179123757724,0.0026764527289883894,0.06086875462382748,0.0017202994327087265,0.37297297055250705,0.003231994587467773,0.009740362447893126,0.003231994587467773
4,200,0.3036981481224742,0.0025346226760760765,0.8207606692564904,0.007063110393996689,0.6320277981006022,0.00326072999135755,0.06427405377692348,0.0026837939815881145,0.2941949221016162,0.0036146471634595835,0.009503226020858041,0.0036146471634595835
4,250,0.2415471427037085,0.0027418483105529417,0.7865763849607518,0.005369156779860031,0.6952267341741278,0.002240662260657469,0.06322612312216365,0.0017203331184082523,0.23277053437483503,0.0020603002766968904,0.008776608328873453,0.0020603002766968904
4,300,0.18951473213120645,0.002225779997981239,0.754180315225999,0.00668623525977724,0.751437820806451,0.0017640853612964902,0.05904744706234253,0.001561963189238395,0.181454838329929,0.002261248824771185,0.008059893801277434,0.002261248824771185
4,400,0.12683397647258168,0.0026560942741992175,0.7080793625281755,0.00716100721318436,0.8237068430551068,0.0013979704001277826,0.049459180472311584,0.001200001507147318,0.12016593267129151,0.0017061836700486878,0.006668043801290176,0.0017061836700486878
4,700,0.06190393446390545,0.0019981724453222538,0.657587528105006,0.004167837353621664,0.9084737667174666,0.0008326332808885166,0.029622298818627955,0.00041410816406987666,0.05694783283937932,0.0007079607334574498,0.004956101624526134,0.0007079607334574498
4,1000,0.04652881137554556,0.001397617084910841,0.6540837434245729,0.004136343621018765,0.9307345491713913,0.0007047065731107279,0.022736639453063374,0.0003509700993597797,0.042998124342432324,0.0005182340747711196,0.003530687033113219,0.0005182340747711196
4,1500,0.04979275479961222,0.000773648158062603,0.672349329983136,0.004507598137597315,0.9279854491445579,0.0008832855286350707,0.02222179605582989,0.00031954396963354683,0.04576828394432188,0.0008045712586449002,0.004024470855290344,0.0008045712586449002
4,2000,0.049000950454420066,0.0004936205438447592,0.6861269486316253,0.00742426313966494,0.9305558666907455,0.0015212938933018537,0.02044318285483441,0.00043099107419088177,0.0453306149868897,0.0013186324165828872,0.0036703354675303593,0.0013186324165828872
5,1,0.924224701154291,0.0012115656976351553,0.994061657262647,0.00045023043163391213,0.07035212354967885,0.0012095062061867597,0.0054231752960300465,0.00041051773797976297,0.9077750642910327,0.001587489521038847,0.01644963686325828,0.001587489521038847
5,5,0.8972516351072528,0.001564185678578712,0.9914303178857917,0.0007583637132156032,0.0951304652475498,0.0021735478521388344,0.007617899645197445,0.0006694071490576667,0.8827509904350767,0.0023662620250462256,0.0145006446721759,0.0023662620250462256
5,10,0.8680153890344774,0.001838400132501291,0.98610288934582,0.0009991052580136833,0.11999203827144325,0.0020326269584853645,0.011992572694079289,0.0008629313636204497,0.8511661420848221,0.002225954685367757,0.01684924694965532,0.002225954685367757
5,20,0.8143493106427815,0.0020267504322571545,0.9774297752914085,0.0011431937954558405,0.16718247096011465,0.00288869794274427,0.018468218397103844,0.0009489418212365763,0.7988770470731752,0.0032133243248485105,0.015472263569606381,0.0032133243248485105
5,40,0.7041441104379491,0.0025772679552934948,0.961655197656457,0.001919270475287329,0.26834944501606145,0.002355899042039418,0.027506444545989397,0.0013878102964646132,0.6894585807947679,0.0024702874178922514,0.014685529643181268,0.0024702874178922514
5,80,0.542746805885515,0.0016899484684200963,0.9265795166660936,0.003039531738479606,0.41558445580303255,0.003059339696717029,0.04166873831145243,0.0016596450380967995,0.5271794028804807,0.0037635046518870313,0.01556740300503439,0.0037635046518870313
5,120,0.4230233757074927,0.002583311507088658,0.8953162202990158,0.004079010926498401,0.5293216689737187,0.003132127143440426,0.047654955318788536,0.0017197582954070075,0.40923250922189236,0.0039945550524480245,0.013790866485600423,0.0039945550524480245
5,160,0.33215759581120813,0.0026810409547672245,0.8667716445804453,0.004438025608968233,0.618838417787095,0.002399709801591811,0.049003986401696814,0.0016236952656548678,0.3192045603612707,0.0029472872406584288,0.012953035449937426,0.0029472872406584288
5,200,0.2640326422882925,0.002927800917664016,0.8413356913408168,0.00348587401778649,0.6885288666805641,0.002371642286140569,0.04743849103114333,0.0011355722696578354,0.25149321347805476,0.0022888914898373585,0.012539428810237726,0.0022888914898373585
5,250,0.19602256954022504,0.002205399396514591,0.8020598765724457,0.006057935435957286,0.7581388087371057,0.0022569487712231157,0.04583862172266907,0.0015196593965664123,0.1854514076059714,0.0020802197002783365,0.010571161934253642,0.0020802197002783365
5,300,0.1560086463265255,0.0019919565327293177,0.7705611421368691,0.005333092359040205,0.8007196411225569,0.001448769579173528,0.043271712550917524,0.0010189714174894018,0.14549399357996537,0.0016693431556548328,0.010514652746560148,0.0016693431556548328
