mode,decay_pct,dephasing_pct,spectator_access_dephasing_pct,many_body_dephasing_pct,state_dependent_access_pct,swaps_pct,measured_pct,measured_err_pct
S1,0.5589000000000001,0.0838,0.9280999999999999,0.1023,0.1637,0.0719,1.1713976006563986,0.041485755837685254
S2,0.1585,0.054,0.7049,0.0462,0.24889999999999998,0.0513,1.258681804004147,0.040563478820520596
S3,0.2454,0.027,0.4504,0.030400000000000003,0.0578,0.0644,1.111699123174259,0.04169635987301473
S4,0.3286,0.037599999999999995,0.32439999999999997,0.025599999999999998,0.255,0.1315,1.113727016297028,0.0486199769967945
S5,0.5254,0.019100000000000002,0.2419,0.0303,0.0561,0.1459,1.2319947469663695,0.06624437266762002
S6,0.3266,0.0204,0.7338,0.0283,0.1666,0.0893,1.2318090448448338,0.059707541501931444
S7,0.49319999999999997,0.0177,0.17650000000000002,0.041800000000000004,0.127,0.12739999999999999,1.1923579650935268,0.05608351111824674
