file_name,mode,T,E,threshold_list,counts_list,man_no_for_parity,reset,single_photon
00120_cavity_temperature_sweep_parity_with_without_reset.h5,M1-D1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49555 0.00445]
 [0.0124  0.4876 ]
 [0.49555 0.00445]
 [0.0124  0.4876 ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1504, 1307, 1190, 1069, 915, 805, 751, 677, 610, 574, 503, 444, 416, 368, 339, 311, 276, 264, 239, 201, 156, 121, 91, 51, 34, 15, 5]",1,False,False
00121_cavity_temperature_sweep_parity_with_without_reset.h5,M1-C,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49555 0.00445]
 [0.0124  0.4876 ]
 [0.49555 0.00445]
 [0.0124  0.4876 ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1704, 1486, 1351, 1216, 1017, 910, 861, 781, 695, 669, 603, 550, 499, 436, 409, 376, 339, 327, 285, 234, 195, 151, 119, 75, 47, 22, 10]",1,False,False
00122_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88184145e-01 1.18158548e-02 0.00000000e+00 0.00000000e+00]
 [2.11311332e-02 9.78868867e-01 0.00000000e+00 0.00000000e+00]
 [2.84057730e-02 3.39651767e-04 1.14762031e-02 9.59778372e-01]
 [6.07423399e-04 2.81380014e-02 9.50730865e-01 2.05237098e-02]]","[[0.49555 0.00445]
 [0.0124  0.4876 ]
 [0.49555 0.00445]
 [0.0124  0.4876 ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1661, 1484, 1328, 1181, 1008, 894, 842, 731, 679, 639, 565, 520, 487, 443, 420, 370, 333, 315, 284, 235, 188, 148, 102, 62, 31, 13, 6]",2,False,False
00123_cavity_temperature_sweep_parity_with_without_reset.h5,M2-D2,"[[9.88184145e-01 1.18158548e-02 0.00000000e+00 0.00000000e+00]
 [2.11311332e-02 9.78868867e-01 0.00000000e+00 0.00000000e+00]
 [2.84057730e-02 3.39651767e-04 1.14762031e-02 9.59778372e-01]
 [6.07423399e-04 2.81380014e-02 9.50730865e-01 2.05237098e-02]]","[[0.49555 0.00445]
 [0.0124  0.4876 ]
 [0.49555 0.00445]
 [0.0124  0.4876 ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1619, 1441, 1280, 1137, 965, 870, 819, 736, 666, 629, 550, 498, 465, 418, 386, 347, 316, 302, 283, 241, 189, 150, 110, 59, 36, 18, 7]",2,False,False
00124_cavity_temperature_sweep_parity_with_without_reset.h5,M1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[87632, 84938, 80202, 77703, 70361, 67160, 63455, 61289, 57820, 55906, 52834, 50539, 48272, 45536, 44079, 41540, 39979, 37877, 36032, 32694, 29829, 27114, 23286, 18144, 14073, 10669, 7817]",1,True,True
00125_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88184145e-01 1.18158548e-02 0.00000000e+00 0.00000000e+00]
 [2.11311332e-02 9.78868867e-01 0.00000000e+00 0.00000000e+00]
 [2.84057730e-02 3.39651767e-04 1.14762031e-02 9.59778372e-01]
 [6.07423399e-04 2.81380014e-02 9.50730865e-01 2.05237098e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[55866, 52705, 47845, 45567, 39338, 35722, 32825, 30998, 28323, 27026, 24299, 23163, 21145, 19362, 18250, 16650, 15788, 14262, 13518, 11378, 9721, 8310, 6535, 4467, 2994, 1918, 1174]",2,True,True
00126_cavity_temperature_sweep_parity_with_without_reset.h5,M1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[2485, 2289, 2017, 1902, 1588, 1472, 1333, 1271, 1166, 1104, 992, 919, 865, 792, 746, 669, 631, 573, 525, 447, 375, 313, 246, 154, 95, 53, 26]",1,True,False
00127_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[3007, 2718, 2353, 2198, 1797, 1651, 1502, 1416, 1271, 1212, 1109, 1022, 947, 850, 798, 723, 685, 614, 569, 469, 392, 337, 255, 157, 98, 57, 32]",1,True,False
00128_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[3144, 2881, 2558, 2412, 2024, 1890, 1719, 1629, 1454, 1372, 1231, 1133, 1060, 956, 907, 816, 770, 709, 660, 560, 464, 387, 293, 195, 131, 73, 38]",1,True,False
00129_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S3,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4983786  0.0016214 ]
 [0.00831722 0.49168278]
 [0.4983786  0.0016214 ]
 [0.00831722 0.49168278]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[3060, 2772, 2431, 2291, 1863, 1737, 1565, 1502, 1342, 1286, 1167, 1072, 1010, 910, 858, 764, 718, 655, 596, 495, 445, 372, 285, 188, 106, 57, 27]",1,True,False
